Temperatura (°C),Humedad (%),Nivel de luz (%),Nivel UV,Nivel CO2
23.20,43.00,20.0,0,72
23.30,43.00,13.1,0,72
23.30,43.00,12.5,0,72
23.20,43.00,12.7,0,72
23.20,43.00,12.0,0,66
23.20,43.00,12.0,0,66
23.20,43.00,11.9,0,67
23.30,43.00,12.1,0,67
23.20,43.00,11.3,0,67
23.30,43.00,11.7,0,67
23.30,43.00,12.0,0,67
23.20,43.00,12.3,0,67
23.30,43.00,11.7,0,66
23.20,43.00,11.6,0,66
23.30,43.00,10.3,0,67
23.30,43.00,9.7,0,66
23.30,43.00,9.1,0,66
23.20,43.00,11.9,0,67
23.20,43.00,10.9,0,67
23.30,43.00,10.9,0,66
23.20,43.00,10.4,0,66
23.20,43.00,9.9,0,67
23.20,43.00,9.9,0,68
23.20,43.00,9.9,0,68
23.20,43.00,10.1,0,68
23.20,43.00,10.4,0,68
23.20,43.00,10.4,0,68
23.30,43.00,10.4,0,67
23.20,43.00,10.0,0,67
23.20,43.00,9.6,0,68
23.20,43.00,10.0,0,67
23.30,43.00,10.0,0,68
23.20,43.00,10.4,0,68
23.20,43.00,10.1,0,68
23.30,43.00,8.0,0,67
23.30,43.00,7.5,0,68
23.20,44.00,6.9,0,68
23.20,44.00,7.1,0,67
23.20,44.00,7.1,0,68
23.30,44.00,8.7,0,68
23.30,44.00,12.1,0,68
23.30,43.00,11.6,0,68
23.30,44.00,11.7,0,67
23.30,44.00,9.3,0,67
23.30,44.00,9.6,0,67
23.30,44.00,11.5,0,67
23.30,44.00,11.2,0,67
23.30,44.00,13.5,0,68
23.30,44.00,13.2,0,67
23.40,44.00,12.8,0,67
23.40,44.00,12.1,0,68
23.40,44.00,11.5,0,68
23.40,44.00,13.3,0,67
23.40,44.00,14.1,0,67
23.40,44.00,12.9,0,67
23.40,43.00,12.8,0,67
23.40,43.00,12.9,0,67
23.40,43.00,11.1,0,67
23.40,43.00,11.7,0,67
23.40,43.00,11.3,0,67
23.40,43.00,12.9,0,67
23.40,43.00,13.3,0,67
23.40,43.00,13.1,0,67
23.40,43.00,13.3,0,67
23.40,43.00,9.6,0,67
23.50,43.00,6.7,0,67
23.50,43.00,6.8,0,68
23.50,43.00,7.5,0,67
23.40,43.00,6.7,0,68
23.50,43.00,7.5,0,67
23.50,43.00,6.9,0,67
23.50,43.00,6.4,0,67
23.50,43.00,6.9,0,67
23.50,43.00,7.3,0,67
